"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 05- 16","2,295.33","2,306.73","2,309.00","2,283.84","368.14M","0.20%"
"2017- 05- 17","2,293.08","2,291.56","2,295.87","2,283.01","394.82M","-0.10%"
"2017- 05- 18","2,286.82","2,271.27","2,288.85","2,267.08","378.32M","-0.27%"
"2017- 05- 19","2,288.48","2,286.78","2,293.82","2,282.13","421.13M","0.07%"
"2017- 05- 22","2,304.03","2,300.68","2,305.21","2,292.95","340.06M","0.68%"
"2017- 05- 23","2,311.74","2,308.69","2,326.57","2,303.15","341.08M","0.33%"
"2017- 05- 24","2,317.34","2,319.37","2,322.54","2,312.93","409.56M","0.24%"
"2017- 05- 25","2,342.93","2,325.49","2,343.72","2,321.26","369.28M","1.10%"
"2017- 05- 26","2,355.30","2,344.39","2,364.80","2,341.61","312.90M","0.53%"
"2017- 05- 29","2,352.97","2,362.59","2,371.67","2,344.25","316.18M","-0.10%"
"2017- 05- 30","2,343.68","2,356.54","2,358.69","2,332.16","508.84M","-0.39%"
"2017- 05- 31","2,347.38","2,339.25","2,355.23","2,338.25","555.94M","0.16%"
"2017- 06- 01","2,344.61","2,348.31","2,351.31","2,335.63","336.69M","-0.12%"
"2017- 06- 02","2,371.72","2,353.77","2,372.65","2,353.45","399.50M","1.16%"
"2017- 06- 05","2,368.62","2,376.66","2,376.83","2,363.61","326.41M","-0.13%"
"2017- 06- 07","2,360.14","2,364.96","2,369.43","2,356.71","376.21M","-0.36%"
"2017- 06- 08","2,363.57","2,361.64","2,365.52","2,347.62","417.08M","0.15%"
"2017- 06- 09","2,381.69","2,371.22","2,385.15","2,367.81","520.56M","0.77%"
"2017- 06- 12","2,357.87","2,370.69","2,374.70","2,353.35","327.23M","-1.00%"
"2017- 06- 13","2,374.70","2,358.92","2,375.81","2,358.92","322.08M","0.71%"
"2017- 06- 14","2,372.64","2,384.54","2,387.29","2,366.92","393.00M","-0.09%"
"2017- 06- 15","2,361.65","2,373.36","2,378.04","2,350.37","334.89M","-0.46%"
"2017- 06- 16","2,361.83","2,364.20","2,365.37","2,355.29","329.18M","0.01%"
"2017- 06- 19","2,370.90","2,364.02","2,377.20","2,356.84","290.94M","0.38%"
"2017- 06- 20","2,369.23","2,382.54","2,382.54","2,365.45","360.73M","-0.07%"
"2017- 06- 21","2,357.53","2,358.23","2,359.97","2,346.19","360.34M","-0.49%"
"2017- 06- 22","2,370.37","2,364.22","2,370.39","2,354.10","299.23M","0.54%"
"2017- 06- 23","2,378.60","2,371.54","2,380.94","2,369.17","256.26M","0.35%"
"2017- 06- 26","2,388.66","2,381.09","2,390.70","2,377.88","325.67M","0.42%"
"2017- 06- 27","2,391.95","2,386.76","2,397.14","2,383.47","358.03M","0.14%"
"2017- 06- 28","2,382.56","2,382.91","2,390.89","2,380.75","361.18M","-0.39%"
"2017- 06- 29","2,395.66","2,396.81","2,402.80","2,393.57","445.13M","0.55%"
"2017- 06- 30","2,391.79","2,382.15","2,391.81","2,381.40","343.53M","-0.16%"
"2017- 07- 03","2,394.48","2,397.66","2,399.90","2,384.55","310.99M","0.11%"
"2017- 07- 04","2,380.52","2,395.24","2,398.02","2,376.41","411.78M","-0.58%"
"2017- 07- 05","2,388.35","2,377.01","2,390.29","2,375.63","333.72M","0.33%"
"2017- 07- 06","2,387.81","2,390.31","2,392.50","2,380.82","301.47M","-0.02%"
"2017- 07- 07","2,379.87","2,376.29","2,385.02","2,372.83","314.37M","-0.33%"
"2017- 07- 10","2,382.10","2,386.30","2,389.87","2,378.04","296.26M","0.09%"
"2017- 07- 11","2,396.00","2,386.42","2,396.46","2,382.69","284.46M","0.58%"
"2017- 07- 12","2,391.77","2,395.41","2,399.28","2,390.45","268.93M","-0.18%"
"2017- 07- 13","2,409.49","2,405.76","2,422.26","2,402.92","289.26M","0.74%"
"2017- 07- 14","2,414.63","2,418.27","2,421.48","2,411.34","258.77M","0.21%"
"2017- 07- 17","2,425.10","2,427.76","2,430.34","2,419.91","254.20M","0.43%"
"2017- 07- 18","2,426.04","2,425.07","2,426.16","2,419.17","260.66M","0.04%"
"2017- 07- 19","2,429.94","2,430.09","2,430.09","2,419.64","270.96M","0.16%"
"2017- 07- 20","2,441.84","2,436.06","2,443.69","2,427.95","251.92M","0.49%"
"2017- 07- 21","2,450.06","2,438.78","2,451.59","2,437.84","250.13M","0.34%"
"2017- 07- 24","2,451.53","2,451.41","2,451.53","2,443.65","233.41M","0.06%"
"2017- 07- 25","2,439.90","2,450.76","2,453.17","2,437.14","275.20M","-0.47%"
"2017- 07- 26","2,434.51","2,446.82","2,446.96","2,429.62","336.11M","-0.22%"
"2017- 07- 27","2,443.24","2,443.28","2,448.24","2,435.49","426.50M","0.36%"
"2017- 07- 28","2,400.99","2,433.46","2,434.38","2,399.06","318.65M","-1.73%"
"2017- 07- 31","2,402.71","2,392.02","2,403.90","2,388.39","277.57M","0.07%"
"2017- 08- 01","2,422.96","2,397.12","2,432.62","2,394.27","264.04M","0.84%"
"2017- 08- 02","2,427.63","2,431.94","2,434.47","2,424.18","261.57M","0.19%"
"2017- 08- 03","2,386.85","2,423.21","2,423.55","2,374.11","303.58M","-1.68%"
"2017- 08- 04","2,395.45","2,389.74","2,400.33","2,383.45","273.57M","0.36%"
"2017- 08- 07","2,398.75","2,402.57","2,412.13","2,395.74","244.12M","0.14%"
"2017- 08- 08","2,394.73","2,404.68","2,410.22","2,383.94","252.85M","-0.17%"
"2017- 08- 09","2,368.39","2,379.70","2,387.53","2,366.33","234.07M","-1.10%"
"2017- 08- 10","2,359.47","2,360.95","2,371.50","2,339.06","283.87M","-0.38%"
"2017- 08- 11","2,319.71","2,323.06","2,335.12","2,310.20","318.58M","-1.69%"
"2017- 08- 14","2,334.22","2,336.02","2,341.78","2,327.80","214.02M","0.63%"
"2017- 08- 16","2,348.26","2,355.74","2,358.46","2,343.72","270.52M","0.60%"
"2017- 08- 17","2,361.67","2,351.61","2,364.50","2,346.74","255.77M","0.57%"
"2017- 08- 18","2,358.37","2,340.19","2,362.43","2,340.19","201.48M","-0.14%"
"2017- 08- 21","2,355.00","2,363.38","2,363.38","2,351.96","207.22M","-0.14%"
"2017- 08- 22","2,365.33","2,360.29","2,369.02","2,359.97","251.86M","0.44%"
"2017- 08- 23","2,366.40","2,376.53","2,379.59","2,360.71","228.62M","0.05%"
"2017- 08- 24","2,375.84","2,370.12","2,382.72","2,368.29","295.53M","0.40%"
"2017- 08- 25","2,378.51","2,381.47","2,384.59","2,372.67","341.96M","0.11%"
"2017- 08- 28","2,370.30","2,376.38","2,383.46","2,366.23","226.87M","-0.35%"
"2017- 08- 29","2,364.74","2,356.20","2,364.74","2,332.85","223.09M","-0.23%"
"2017- 08- 30","2,372.29","2,368.13","2,372.29","2,363.43","305.64M","0.32%"
"2017- 08- 31","2,363.19","2,373.96","2,377.02","2,355.29","265.05M","-0.38%"
"2017- 09- 01","2,357.69","2,367.45","2,370.25","2,351.37","280.06M","-0.23%"
"2017- 09- 04","2,329.65","2,316.89","2,344.82","2,316.89","248.50M","-1.19%"
"2017- 09- 05","2,326.62","2,340.62","2,340.62","2,319.94","320.43M","-0.13%"
"2017- 09- 06","2,319.82","2,324.84","2,325.56","2,314.31","252.68M","-0.29%"
"2017- 09- 07","2,346.19","2,328.94","2,349.79","2,328.92","277.04M","1.14%"
"2017- 09- 08","2,343.72","2,350.19","2,351.73","2,340.63","214.59M","-0.11%"
"2017- 09- 11","2,359.08","2,354.86","2,369.72","2,354.35","243.61M","0.66%"
"2017- 09- 12","2,365.47","2,372.02","2,372.45","2,359.12","333.57M","0.27%"
"2017- 09- 13","2,360.18","2,370.54","2,373.61","2,360.17","318.87M","-0.22%"
"2017- 09- 14","2,377.66","2,365.54","2,377.66","2,358.43","314.26M","0.74%"
"2017- 09- 15","2,386.07","2,368.44","2,386.07","2,365.37","298.74M","0.35%"
"2017- 09- 18","2,418.21","2,390.58","2,418.24","2,389.65","273.48M","1.35%"
"2017- 09- 19","2,416.05","2,419.30","2,422.05","2,411.68","254.59M","-0.09%"
"2017- 09- 20","2,412.20","2,420.82","2,429.12","2,405.78","303.29M","-0.16%"
"2017- 09- 21","2,406.50","2,412.01","2,415.13","2,401.89","335.34M","-0.24%"
"2017- 09- 22","2,388.71","2,404.35","2,409.30","2,381.81","333.62M","-0.74%"
"2017- 09- 25","2,380.40","2,388.77","2,392.44","2,374.69","339.35M","-0.35%"
"2017- 09- 26","2,374.32","2,371.62","2,381.31","2,365.34","319.12M","-0.26%"
"2017- 09- 27","2,372.57","2,376.89","2,377.18","2,368.92","202.62M","-0.07%"
"2017- 09- 28","2,373.14","2,374.10","2,379.54","2,365.67","194.77M","0.02%"
"2017- 09- 29","2,394.47","2,378.66","2,394.47","2,378.66","184.19M","0.90%"
"2017- 10- 10","2,433.81","2,425.63","2,443.20","2,421.10","221.74M","1.64%"
"2017- 10- 11","2,458.16","2,442.49","2,458.16","2,439.81","201.77M","1.00%"
"2017- 10- 12","2,474.76","2,461.70","2,474.76","2,459.48","256.21M","0.68%"
"2017- 10- 13","2,473.62","2,473.65","2,479.73","2,468.14","234.80M","-0.05%"
"2017- 10- 16","2,480.05","2,483.17","2,487.71","2,470.24","224.42M","0.26%"
"2017- 10- 17","2,484.37","2,484.96","2,487.88","2,478.76","199.05M","0.17%"
"2017- 10- 18","2,482.91","2,481.53","2,490.58","2,475.67","244.24M","-0.06%"
"2017- 10- 19","2,473.06","2,485.72","2,490.94","2,468.67","236.62M","-0.40%"
"2017- 10- 20","2,489.54","2,477.30","2,489.54","2,476.88","313.21M","0.67%"
"2017- 10- 23","2,490.05","2,497.65","2,500.33","2,485.48","274.20M","0.02%"
"2017- 10- 24","2,490.49","2,489.31","2,497.35","2,487.17","232.01M","0.02%"
"2017- 10- 25","2,492.50","2,495.87","2,497.41","2,481.48","599.44M","0.08%"
"2017- 10- 26","2,480.63","2,489.60","2,495.99","2,480.63","646.88M","-0.48%"
"2017- 10- 27","2,496.63","2,485.44","2,499.15","2,479.67","511.23M","0.64%"
"2017- 10- 30","2,501.93","2,513.87","2,513.87","2,497.42","342.01M","0.21%"
"2017- 10- 31","2,523.43","2,500.21","2,528.32","2,498.05","313.79M","0.86%"
"2017- 11- 01","2,556.47","2,535.97","2,556.47","2,535.83","361.80M","1.31%"
"2017- 11- 02","2,546.36","2,560.34","2,561.63","2,542.02","527.73M","-0.40%"
"2017- 11- 03","2,557.97","2,558.37","2,558.37","2,539.72","292.77M","0.46%"
"2017- 11- 06","2,549.41","2,557.29","2,559.90","2,529.94","221.19M","-0.33%"
"2017- 11- 07","2,545.44","2,548.30","2,554.13","2,540.67","253.92M","-0.16%"
"2017- 11- 08","2,552.40","2,534.48","2,558.74","2,533.73","277.04M","0.27%"
"2017- 11- 09","2,550.57","2,559.93","2,559.93","2,536.54","293.54M","-0.07%"
"2017- 11- 10","2,542.95","2,541.18","2,547.61","2,534.60","291.52M","-0.30%"
"2017- 11- 13","2,530.35","2,548.27","2,552.28","2,527.20","266.53M","-0.50%"
"2017- 11- 14","2,526.64","2,532.55","2,532.95","2,520.99","287.77M","-0.15%"
"2017- 11- 15","2,518.25","2,525.60","2,526.61","2,511.76","398.22M","-0.33%"
"2017- 11- 16","2,534.79","2,522.42","2,538.28","2,514.51","302.93M","0.66%"
"2017- 11- 17","2,533.99","2,546.05","2,559.10","2,533.99","362.19M","-0.03%"
"2017- 11- 20","2,527.67","2,536.80","2,542.62","2,523.52","404.26M","-0.25%"
"2017- 11- 21","2,530.70","2,533.85","2,539.88","2,525.96","484.89M","0.12%"
"2017- 11- 22","2,540.51","2,546.61","2,553.22","2,535.19","485.67M","0.39%"
"2017- 11- 23","2,537.15","2,542.34","2,544.58","2,532.45","391.29M","-0.13%"
"2017- 11- 24","2,544.33","2,539.79","2,544.33","2,533.98","297.94M","0.28%"
"2017- 11- 27","2,507.81","2,544.74","2,546.71","2,506.69","284.89M","-1.44%"
"2017- 11- 28","2,514.19","2,512.52","2,521.06","2,500.93","348.24M","0.25%"
"2017- 11- 29","2,512.90","2,517.26","2,524.41","2,508.66","301.21M","-0.05%"
"2017- 11- 30","2,476.37","2,502.22","2,506.32","2,474.28","339.02M","-1.45%"
"2017- 12- 01","2,475.41","2,488.92","2,488.92","2,472.75","288.57M","-0.04%"
"2017- 12- 04","2,501.67","2,486.72","2,501.67","2,476.29","323.85M","1.06%"
"2017- 12- 05","2,510.12","2,490.73","2,513.68","2,487.15","395.43M","0.34%"
"2017- 12- 06","2,474.37","2,510.19","2,510.47","2,474.29","507.62M","-1.42%"
"2017- 12- 07","2,461.98","2,479.55","2,480.85","2,452.40","404.85M","-0.50%"
"2017- 12- 08","2,464.00","2,470.09","2,473.17","2,459.02","406.38M","0.08%"
"2017- 12- 11","2,471.49","2,467.81","2,471.99","2,457.98","240.14M","0.30%"
"2017- 12- 12","2,461.00","2,471.23","2,471.43","2,455.39","281.19M","-0.42%"
"2017- 12- 13","2,480.55","2,462.42","2,481.92","2,457.70","254.95M","0.79%"
