"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 07- 13","1,043.31","1,035.68","1,044.64","1,035.68","1.71B","0.84%"
"2021- 07- 14","1,044.98","1,043.50","1,045.45","1,038.68","1.71B","0.16%"
"2021- 07- 15","1,054.31","1,046.57","1,055.82","1,046.57","2.06B","0.89%"
"2021- 07- 16","1,051.98","1,053.85","1,053.95","1,044.70","1.73B","-0.22%"
"2021- 07- 19","1,049.83","1,049.51","1,051.45","1,046.90","1.40B","-0.20%"
"2021- 07- 20","1,043.64","1,040.99","1,049.20","1,036.14","1.65B","-0.59%"
"2021- 07- 21","1,042.03","1,051.73","1,051.95","1,041.44","1.32B","-0.15%"
"2021- 07- 22","1,050.25","1,046.51","1,051.94","1,046.51","1.62B","0.79%"
"2021- 07- 23","1,055.50","1,053.01","1,059.18","1,053.01","1.39B","0.50%"
"2021- 07- 26","1,047.63","1,059.91","1,060.21","1,045.27","1.27B","-0.75%"
"2021- 07- 27","1,046.55","1,050.87","1,053.46","1,045.66","1.55B","-0.10%"
"2021- 07- 28","1,035.68","1,043.19","1,048.78","1,030.04","1.42B","-1.04%"
"2021- 07- 29","1,044.13","1,040.45","1,044.79","1,039.26","1.21B","0.82%"
"2021- 07- 30","1,031.14","1,044.28","1,044.36","1,029.19","1.34B","-1.24%"
"2021- 08- 02","1,037.80","1,033.17","1,038.49","1,029.26","1.20B","0.65%"
"2021- 08- 03","1,036.11","1,038.91","1,041.76","1,029.05","1.50B","-0.16%"
"2021- 08- 04","1,047.93","1,038.96","1,047.93","1,035.98","1.49B","1.14%"
"2021- 08- 05","1,059.54","1,050.45","1,060.14","1,050.32","1.37B","1.11%"
"2021- 08- 06","1,059.80","1,061.32","1,062.03","1,055.64","1.35B","0.02%"
"2021- 08- 09","1,060.00","1,059.29","1,061.78","1,054.58","1.35B","0.02%"
"2021- 08- 10","1,052.07","1,060.90","1,060.90","1,048.98","1.69B","-0.75%"
"2021- 08- 11","1,051.92","1,050.48","1,057.03","1,048.70","1.31B","-0.01%"
"2021- 08- 12","1,054.09","1,054.16","1,058.41","1,052.21","1.09B","0.21%"
"2021- 08- 13","1,040.78","1,054.28","1,054.46","1,024.48","1.37B","-1.26%"
"2021- 08- 17","1,011.05","1,039.66","1,039.66","1,009.21","1.18B","-2.86%"
"2021- 08- 18","1,021.08","1,006.80","1,022.09","999.26","1.10B","0.99%"
"2021- 08- 19","991.15","1,013.93","1,022.77","991.13","1.40B","-2.93%"
"2021- 08- 20","967.90","997.02","1,000.67","964.02","1.27B","-2.35%"
"2021- 08- 23","993.18","977.87","996.23","969.48","993.51M","2.61%"
"2021- 08- 24","1,013.18","1,002.19","1,015.09","1,000.72","1.33B","2.01%"
"2021- 08- 25","1,017.78","1,017.96","1,017.96","1,006.98","1.23B","0.45%"
"2021- 08- 26","1,020.44","1,020.85","1,026.26","1,015.91","1.08B","0.26%"
"2021- 08- 27","1,023.51","1,017.36","1,027.26","1,014.10","1.30B","0.30%"
"2021- 08- 30","1,031.84","1,030.65","1,035.77","1,027.84","1.18B","0.81%"
"2021- 08- 31","1,038.33","1,032.77","1,038.33","1,026.36","1.24B","0.63%"
"2021- 09- 01","1,045.98","1,038.09","1,046.00","1,035.09","1.15B","0.74%"
"2021- 09- 02","1,047.19","1,048.15","1,048.20","1,042.36","1.29B","0.12%"
"2021- 09- 03","1,053.85","1,049.81","1,054.53","1,047.12","1.44B","0.64%"
"2021- 09- 06","1,052.96","1,056.30","1,056.30","1,049.27","1.33B","-0.08%"
"2021- 09- 07","1,054.43","1,054.03","1,054.76","1,049.80","1.57B","0.14%"
"2021- 09- 08","1,037.22","1,053.46","1,053.46","1,037.22","1.48B","-1.63%"
"2021- 09- 09","1,034.62","1,033.97","1,042.04","1,027.64","1.41B","-0.25%"
"2021- 09- 10","1,037.91","1,035.86","1,039.73","1,026.97","1.38B","0.32%"
"2021- 09- 13","1,026.34","1,036.86","1,037.50","1,023.98","1.26B","-1.11%"
"2021- 09- 14","1,037.74","1,029.57","1,038.94","1,028.40","1.16B","1.11%"
"2021- 09- 15","1,042.79","1,039.57","1,044.26","1,038.80","1.44B","0.49%"
